"","id","dam","sire"
"1","2010_I-11_1",NA,NA
"2","2010_I-11_2",NA,NA
"3","2010_I-11_3",NA,NA
"4","2005_L-02_2",NA,NA
"5","794-53891",NA,NA
"6","1996_A-05_1",NA,NA
"7","2010_K-04_1",NA,NA
"8","2010_K-04_2",NA,NA
"9","1997_K-09_1",NA,NA
"10","1999_P-05_1",NA,NA
"11","1996_P-08_1",NA,NA
"12","1997_S-05_1",NA,NA
"13","2010_C-04_1",NA,NA
"14","2010_I-03_1",NA,NA
"15","2010_I-03_2",NA,NA
"16","1996_U-08_A",NA,NA
"17","1997_U-08_1",NA,NA
"18","1997_U-08_2",NA,NA
"19","1992_M-10_1",NA,NA
"20","1992_M-10_2",NA,NA
"21","2001_O-08_1",NA,NA
"22","2003_P-06_1",NA,NA
"23","2010_O-02_1",NA,NA
"24","2010_O-02_2",NA,NA
"25","2003_G-10_1",NA,NA
"26","2003_G-10_2",NA,NA
"27","1997_I-03_1",NA,NA
"28","2003_K-14_1",NA,NA
"29","1978_U-08_1",NA,NA
"30","1978_U-08_2",NA,NA
"31","1981_Q-10_1",NA,NA
"32","2010_C-03_1",NA,NA
"33","2010_C-03_2",NA,NA
"34","2009_G-04_1",NA,NA
"35","2009_G-04_2",NA,NA
"36","2010_L-12_1",NA,NA
"37","2010_L-12_2",NA,NA
"38","1981_S-06_1",NA,NA
"39","2005_G-02_1",NA,NA
"40","2005_G-02_2",NA,NA
"41","1981_G-03_1",NA,NA
"42","2012_G-08_1",NA,NA
"43","584-12847",NA,NA
"44","584-12856",NA,NA
"45","684-59856",NA,NA
"46","684-59857",NA,NA
"47","2003_S-05_1",NA,NA
"48","1984_V=11_1",NA,NA
"49","1984_V=11_2",NA,NA
"50","1999_E-13_1",NA,NA
"51","1999_E-13_2",NA,NA
"52","1999_G-16_1",NA,NA
"53","1999_G-16_2",NA,NA
"54","1996_I-11_1",NA,NA
"55","1986_K-08_1",NA,NA
"56","1986_K-08_2",NA,NA
"57","754-10073",NA,NA
"58","754-10074",NA,NA
"59","1996_O-03_1",NA,NA
"60","1999_Q-04_1",NA,NA
"61","1999_Q-04_2",NA,NA
"62","1983_U=97NW_1",NA,NA
"63","0944-02285",NA,NA
"64","0944-02352",NA,NA
"65","0944-02353",NA,NA
"66","0944-02407",NA,NA
"67","0944-02409",NA,NA
"68","0944-02457",NA,NA
"69","0944-02458",NA,NA
"70","0944-02501",NA,NA
"71","0944-02502",NA,NA
"72","0944-06110",NA,NA
"73","0944-06111",NA,NA
"74","0944-06184",NA,NA
"75","0944-06185",NA,NA
"76","0944-06187",NA,NA
"77","0944-06370",NA,NA
"78","0944-06371",NA,NA
"79","0944-06380",NA,NA
"80","0944-06381",NA,NA
"81","1975_bg1_1",NA,NA
"82","1975_bg1_2",NA,NA
"83","1975_bg6_1",NA,NA
"84","1975_bg6_2",NA,NA
"85","1975_blindbox_1",NA,NA
"86","1975_blindbox_2",NA,NA
"87","1975_condor_1",NA,NA
"88","1975_econdor_1",NA,NA
"89","1975_econdor_2",NA,NA
"90","1975_greenbox_1",NA,NA
"91","1975_greenbox_2",NA,NA
"92","1975_lakebox_1",NA,NA
"93","1975_lakebox_2",NA,NA
"94","1975_logpond_1",NA,NA
"95","1975_logpond_2",NA,NA
"96","1975_pipebox_1",NA,NA
"97","1975_pipebox_2",NA,NA
"98","1975_pond_1",NA,NA
"99","1975_pond_2",NA,NA
"100","1975_redwallboard_1",NA,NA
"101","1975_redwallboard_2",NA,NA
"102","1975_shitter_1",NA,NA
"103","1975_shitter_2",NA,NA
"104","1975_sledge_1",NA,NA
"105","1975_sledge_2",NA,NA
"106","1975_walrusbox_1",NA,NA
"107","1975_walrusbox_2",NA,NA
"108","1977_D-04_1",NA,NA
"109","1977_D-04_2",NA,NA
"110","1977_D-04_3",NA,NA
"111","1977_E-13_1",NA,NA
"112","1977_E-13_2",NA,NA
"113","1977_F-01_1",NA,NA
"114","1977_F-01_2",NA,NA
